review_id,sentence_id,text,category,polarity,target,from_num,to_num
310,115:8,As well as having the plug in the computer come loose.,POWER_SUPPLY#QUALITY,negative,,0,0
36,318:0,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",LAPTOP#DESIGN_FEATURES,negative,,0,0
154,55:2,Excellent LED monitor and well equipped.,DISPLAY#DESIGN_FEATURES,positive,,0,0
231,303:8,if this computer every breaks down on me i will most definatly get the same one again.,LAPTOP#GENERAL,positive,,0,0
317,302:5,But the machine is awesome and iLife is great and I love Snow Leopard X.,LAPTOP#GENERAL,positive,,0,0
348,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative,,0,0
114,162:0,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",LAPTOP#DESIGN_FEATURES,positive,,0,0
25,342:2,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,,0,0
320,196:5,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",LAPTOP#DESIGN_FEATURES,positive,,0,0
284,303:6,i can use it for all of my needs.,LAPTOP#GENERAL,positive,,0,0
154,290:1,I love it so much.,LAPTOP#GENERAL,positive,,0,0
286,366:12,WOULD PAY MORE FOR IT IF I HAD TOO!,LAPTOP#PRICE,positive,,0,0
373,143:0,Runs Hot,LAPTOP#QUALITY,negative,,0,0
41,97:3,"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",LAPTOP#QUALITY,negative,,0,0
64,338:0,I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative,,0,0
170,246:4,"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",SUPPORT#QUALITY,positive,,0,0
154,134:11,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,LAPTOP#GENERAL,negative,,0,0
164,359:8,Buyer Beware.,LAPTOP#GENERAL,negative,,0,0
