review_id,sentence_id,text,category,polarity,target,from_num,to_num
1707201,615180:1,"The food was not fresh, the sauces were bland and very oily.",FOOD#QUALITY,negative,sauces,sauces,34
513521,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.",AMBIENCE#GENERAL,positive,atmosphere,atmosphere,20
1338124,1561259:1,But the staff was so horrible to us.,SERVICE#GENERAL,negative,staff,staff,13
1606837,404464:2,"The entree was bland and small, dessert was not inspired.",FOOD#QUALITY,negative,dessert,dessert,39
535248,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,SERVICE#GENERAL,negative,customer service,customer service,65
507844,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",RESTAURANT#PRICES,negative,place,place,10
1413697,1710746:6,I had a huge pastrami sandwich on a roll.,FOOD#STYLE_OPTIONS,neutral,pastrami sandwich on a roll,pastrami sandwich on a roll,40
1470286,1730127:1,"The food is outstanding and the service is quick, friendly and very professional.",FOOD#QUALITY,positive,food,food,8
1275154,1335656:3,Salads were fantastic.,FOOD#QUALITY,positive,Salads,Salads,6
735448,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#QUALITY,positive,food,food,58
1123262,1623276:0,Patroon features a nice cigar bar and has great staff.,SERVICE#GENERAL,positive,staff,staff,53
436868,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#STYLE_OPTIONS,negative,dessert,dessert,12
1730447,496132:3,The food is excellent! ,FOOD#QUALITY,positive,food,food,8
608500,1126814:3,Decent wine at reasonable prices.,DRINKS#PRICES,positive,wine,wine,11
773720,611117:4,Thanks Bloom's for a lovely trip.,RESTAURANT#GENERAL,positive,Bloom's,Bloom's,14
1232468,1470286:0,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",SERVICE#GENERAL,positive,service,service,85
1718513,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,positive,Moules,Moules,6
493013,1413697:0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",FOOD#QUALITY,positive,pizza,pizza,85
1660047,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive,chicken pot pie,chicken pot pie,19
758263,1572027:1,Amma is nothing special.,RESTAURANT#GENERAL,neutral,Amma,Amma,4
530517,1417496:4,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",FOOD#QUALITY,positive,meal,meal,69
378848,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,positive,fried shrimp,fried shrimp,28
535171,630914:3,"Nice atmosphere, the service was very pleasant and the desert was good.",FOOD#QUALITY,positive,desert,desert,61
433878,1287538:2,The restaurant is cute but not upscale.,RESTAURANT#GENERAL,neutral,restaurant,restaurant,14
1162037,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",FOOD#STYLE_OPTIONS,negative,all you can eat deal,all you can eat deal,50
615180,1723658:1,"Great food, good size menu, great service and an unpretensious setting.",FOOD#STYLE_OPTIONS,positive,menu,menu,26
735448,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",FOOD#STYLE_OPTIONS,positive,bruschettas,bruschettas,34
735448,1430994:7,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,DRINKS#STYLE_OPTIONS,positive,bottles of Korbett,bottles of Korbett,87
503807,1430994:3,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,FOOD#QUALITY,positive,New England Chowder,New England Chowder,40
1655504,527109:1,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",AMBIENCE#GENERAL,positive,restaurant,restaurant,14
620892,1490757:2,The prices were CHEAP compared to the quality of service and food.,FOOD#QUALITY,positive,food,food,65
536919,1430994:7,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,DRINKS#STYLE_OPTIONS,positive,bottles of Korbett,bottles of Korbett,87
1410878,1380450:1,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,FOOD#QUALITY,negative,hanger steak,hanger steak,16
1728733,1572033:5,Try the sea bass.,FOOD#QUALITY,positive,sea bass,sea bass,16
1496205,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,positive,kababs,kababs,60
610611,485966:2,Service was good and food is wonderful.,FOOD#QUALITY,positive,food,food,25
1004293,521916:1,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",FOOD#QUALITY,positive,chicken,chicken,85
445960,397331:0,Mizu is the Japenese find in Grammercy.,RESTAURANT#GENERAL,positive,Mizu,Mizu,4
1718513,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,positive,ambience,ambience,28
1289424,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#STYLE_OPTIONS,positive,cheeseburger,cheeseburger,51
1730014,759781:4,"The vibe is very relaxed and cozy, service was great and the food was excellent!",SERVICE#GENERAL,positive,service,service,42
553097,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY,positive,fried shrimp,fried shrimp,28
1606837,630914:2,"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",FOOD#QUALITY,negative,goat cheese salad,goat cheese salad,99
1632929,1543345:1,Who has room for Cheesesticks with the best pizza in NYC!,FOOD#QUALITY,positive,pizza,pizza,49
503807,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",SERVICE#GENERAL,positive,service,service,37
1064477,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",SERVICE#GENERAL,positive,Service,Service,7
1451107,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",AMBIENCE#GENERAL,neutral,decor,decor,73
1349391,464342:1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,SERVICE#GENERAL,negative,manager,manager,57
682250,735448:3,even the wine by the glass was good.,DRINKS#QUALITY,positive,wine by the glass,wine by the glass,26
1707201,1572033:2,This place is always packed.,AMBIENCE#GENERAL,neutral,place,place,10
682391,1710746:0,I got an excellent piece of cheesecake and we had several other nice pastries.,FOOD#QUALITY,positive,pastries,pastries,77
444818,1632445:4,The only fallback on this restaurant is the prices.,RESTAURANT#PRICES,negative,restaurant,restaurant,36
